,production_line,number_of_components,components,times_component_used,connection_key_category,connection_key_numeric,connection_key_date
0,L0_S1_F25,1,T1,25,125,124,126
1,L0_S1_F27,1,T9,25,127,126,128
2,L0_S1_F29,1,T1,27,129,128,130
3,L0_S1_F31,3,T9,25,131,130,132
4,L0_S1_F31,3,T24,1,131,130,132
5,L0_S1_F31,3,T48,1,131,130,132
6,L0_S2_F33,1,T1,263,233,232,234
7,L0_S2_F35,6,T32,178,235,234,236
8,L0_S2_F35,6,T96,29,235,234,236
9,L0_S2_F35,6,T64,22,235,234,236
10,L0_S2_F35,6,T128,20,235,234,236
11,L0_S2_F35,6,T48,13,235,234,236
12,L0_S2_F35,6,T4,1,235,234,236
13,L0_S2_F37,1,T1,263,237,236,238
14,L0_S2_F39,6,T32,178,239,238,240
15,L0_S2_F39,6,T96,29,239,238,240
16,L0_S2_F39,6,T64,22,239,238,240
17,L0_S2_F39,6,T128,20,239,238,240
18,L0_S2_F39,6,T48,13,239,238,240
19,L0_S2_F39,6,T4,1,239,238,240
20,L0_S2_F41,1,T1,263,241,240,242
21,L0_S2_F43,6,T32,178,243,242,244
22,L0_S2_F43,6,T96,29,243,242,244
23,L0_S2_F43,6,T64,22,243,242,244
24,L0_S2_F43,6,T128,20,243,242,244
25,L0_S2_F43,6,T48,13,243,242,244
26,L0_S2_F43,6,T4,1,243,242,244
27,L0_S2_F45,1,T1,263,245,244,246
28,L0_S2_F47,6,T32,178,247,246,248
29,L0_S2_F47,6,T96,29,247,246,248
30,L0_S2_F47,6,T64,22,247,246,248
31,L0_S2_F47,6,T128,20,247,246,248
32,L0_S2_F47,6,T48,13,247,246,248
33,L0_S2_F47,6,T4,1,247,246,248
34,L0_S2_F49,1,T1,263,249,248,250
35,L0_S2_F51,6,T32,178,251,250,252
36,L0_S2_F51,6,T96,29,251,250,252
37,L0_S2_F51,6,T64,22,251,250,252
38,L0_S2_F51,6,T128,20,251,250,252
39,L0_S2_F51,6,T48,13,251,250,252
40,L0_S2_F51,6,T4,1,251,250,252
41,L0_S2_F53,1,T1,263,253,252,254
42,L0_S2_F55,6,T32,178,255,254,256
43,L0_S2_F55,6,T96,29,255,254,256
44,L0_S2_F55,6,T64,22,255,254,256
45,L0_S2_F55,6,T128,20,255,254,256
46,L0_S2_F55,6,T48,13,255,254,256
47,L0_S2_F55,6,T4,1,255,254,256
48,L0_S2_F57,1,T1,263,257,256,258
49,L0_S2_F59,6,T32,178,259,258,260
50,L0_S2_F59,6,T96,29,259,258,260
51,L0_S2_F59,6,T64,22,259,258,260
52,L0_S2_F59,6,T128,20,259,258,260
53,L0_S2_F59,6,T48,13,259,258,260
54,L0_S2_F59,6,T4,1,259,258,260
55,L0_S2_F61,1,T1,263,261,260,262
56,L0_S2_F63,6,T32,178,263,262,264
57,L0_S2_F63,6,T96,29,263,262,264
58,L0_S2_F63,6,T64,22,263,262,264
59,L0_S2_F63,6,T128,20,263,262,264
60,L0_S2_F63,6,T48,13,263,262,264
61,L0_S2_F63,6,T4,1,263,262,264
62,L0_S2_F65,1,T1,263,265,264,266
63,L0_S2_F67,6,T32,178,267,266,268
64,L0_S2_F67,6,T96,29,267,266,268
65,L0_S2_F67,6,T64,22,267,266,268
66,L0_S2_F67,6,T128,20,267,266,268
67,L0_S2_F67,6,T48,13,267,266,268
68,L0_S2_F67,6,T4,1,267,266,268
69,L0_S4_F105,1,T1,123,4105,4104,4106
70,L0_S4_F107,1,T1,73,4107,4106,4108
71,L0_S4_F108,2,T98,71,4108,4107,4109
72,L0_S4_F108,2,T97,52,4108,4107,4109
73,L0_S4_F110,1,T1,71,4110,4109,4111
74,L0_S4_F112,1,T1,28,4112,4111,4113
75,L0_S4_F113,1,T98,71,4113,4112,4114
76,L0_S6_F119,1,T1,7,6119,6118,6120
77,L0_S6_F121,1,T16,7,6121,6120,6122
78,L0_S6_F123,1,T1,7,6123,6122,6124
79,L0_S6_F125,1,T16,7,6125,6124,6126
80,L0_S6_F126,1,T1,7,6126,6125,6127
81,L0_S6_F128,1,T16,7,6128,6127,6129
82,L0_S6_F129,1,T1,7,6129,6128,6130
83,L0_S6_F131,1,T16,7,6131,6130,6132
84,L0_S6_F133,1,T1,7,6133,6132,6134
85,L0_S6_F135,1,T16,7,6135,6134,6136
86,L0_S9_F151,1,T1,495,9151,9150,9152
87,L0_S9_F153,1,T1,83,9153,9152,9154
88,L0_S9_F154,19,T8,166,9154,9153,9155
89,L0_S9_F154,19,T48576,142,9154,9153,9155
90,L0_S9_F154,19,T512,37,9154,9153,9155
91,L0_S9_F154,19,T16777557,28,9154,9153,9155
92,L0_S9_F154,19,T16777232,23,9154,9153,9155
93,L0_S9_F154,19,T4,20,9154,9153,9155
94,L0_S9_F154,19,T16777248,18,9154,9153,9155
95,L0_S9_F154,19,T48,13,9154,9153,9155
96,L0_S9_F154,19,T96,12,9154,9153,9155
97,L0_S9_F154,19,T32,9,9154,9153,9155
98,L0_S9_F154,19,T128,7,9154,9153,9155
99,L0_S9_F154,19,T12582912,7,9154,9153,9155
100,L0_S9_F154,19,T6553,4,9154,9153,9155
101,L0_S9_F154,19,T65536,3,9154,9153,9155
102,L0_S9_F154,19,T16,3,9154,9153,9155
103,L0_S9_F154,19,T16779428,1,9154,9153,9155
104,L0_S9_F154,19,T16777472,1,9154,9153,9155
105,L0_S9_F154,19,T33554448,1,9154,9153,9155
106,L0_S9_F154,19,T-18748192,1,9154,9153,9155
107,L0_S9_F156,1,T1,476,9156,9155,9157
108,L0_S9_F158,1,T1,80,9158,9157,9159
109,L0_S9_F159,15,T8,166,9159,9158,9160
110,L0_S9_F159,15,T48576,142,9159,9158,9160
111,L0_S9_F159,15,T512,37,9159,9158,9160
112,L0_S9_F159,15,T16777557,28,9159,9158,9160
113,L0_S9_F159,15,T16777232,23,9159,9158,9160
114,L0_S9_F159,15,T4,20,9159,9158,9160
115,L0_S9_F159,15,T16777248,18,9159,9158,9160
116,L0_S9_F159,15,T48,13,9159,9158,9160
117,L0_S9_F159,15,T32,9,9159,9158,9160
118,L0_S9_F159,15,T12582912,7,9159,9158,9160
119,L0_S9_F159,15,T128,7,9159,9158,9160
120,L0_S9_F159,15,T16,3,9159,9158,9160
121,L0_S9_F159,15,T16779428,1,9159,9158,9160
122,L0_S9_F159,15,T33554448,1,9159,9158,9160
123,L0_S9_F159,15,T16777472,1,9159,9158,9160
124,L0_S9_F161,1,T1,495,9161,9160,9162
125,L0_S9_F163,1,T1,83,9163,9162,9164
126,L0_S9_F164,18,T8,166,9164,9163,9165
127,L0_S9_F164,18,T48576,142,9164,9163,9165
128,L0_S9_F164,18,T512,37,9164,9163,9165
129,L0_S9_F164,18,T16777557,28,9164,9163,9165
130,L0_S9_F164,18,T16777232,23,9164,9163,9165
131,L0_S9_F164,18,T4,20,9164,9163,9165
132,L0_S9_F164,18,T16777248,18,9164,9163,9165
133,L0_S9_F164,18,T48,13,9164,9163,9165
134,L0_S9_F164,18,T96,12,9164,9163,9165
135,L0_S9_F164,18,T32,9,9164,9163,9165
136,L0_S9_F164,18,T12582912,7,9164,9163,9165
137,L0_S9_F164,18,T128,7,9164,9163,9165
138,L0_S9_F164,18,T6553,4,9164,9163,9165
139,L0_S9_F164,18,T65536,3,9164,9163,9165
140,L0_S9_F164,18,T16,3,9164,9163,9165
141,L0_S9_F164,18,T16779428,1,9164,9163,9165
142,L0_S9_F164,18,T16777472,1,9164,9163,9165
143,L0_S9_F164,18,T33554448,1,9164,9163,9165
144,L0_S9_F166,1,T1,488,9166,9165,9167
145,L0_S9_F168,1,T1,80,9168,9167,9169
146,L0_S9_F169,16,T8,166,9169,9168,9170
147,L0_S9_F169,16,T48576,142,9169,9168,9170
148,L0_S9_F169,16,T512,37,9169,9168,9170
149,L0_S9_F169,16,T16777557,28,9169,9168,9170
150,L0_S9_F169,16,T16777232,23,9169,9168,9170
151,L0_S9_F169,16,T4,20,9169,9168,9170
152,L0_S9_F169,16,T16777248,18,9169,9168,9170
153,L0_S9_F169,16,T48,13,9169,9168,9170
154,L0_S9_F169,16,T96,12,9169,9168,9170
155,L0_S9_F169,16,T32,9,9169,9168,9170
156,L0_S9_F169,16,T12582912,7,9169,9168,9170
157,L0_S9_F169,16,T128,7,9169,9168,9170
158,L0_S9_F169,16,T16,3,9169,9168,9170
159,L0_S9_F169,16,T16779428,1,9169,9168,9170
160,L0_S9_F169,16,T33554448,1,9169,9168,9170
161,L0_S9_F169,16,T16777472,1,9169,9168,9170
162,L0_S9_F171,1,T1,495,9171,9170,9172
163,L0_S9_F173,1,T1,83,9173,9172,9174
164,L0_S9_F174,18,T8,166,9174,9173,9175
165,L0_S9_F174,18,T48576,142,9174,9173,9175
166,L0_S9_F174,18,T512,37,9174,9173,9175
167,L0_S9_F174,18,T16777557,28,9174,9173,9175
168,L0_S9_F174,18,T16777232,23,9174,9173,9175
169,L0_S9_F174,18,T4,20,9174,9173,9175
170,L0_S9_F174,18,T16777248,18,9174,9173,9175
171,L0_S9_F174,18,T48,13,9174,9173,9175
172,L0_S9_F174,18,T96,12,9174,9173,9175
173,L0_S9_F174,18,T32,9,9174,9173,9175
174,L0_S9_F174,18,T128,7,9174,9173,9175
175,L0_S9_F174,18,T12582912,7,9174,9173,9175
176,L0_S9_F174,18,T6553,4,9174,9173,9175
177,L0_S9_F174,18,T16,3,9174,9173,9175
178,L0_S9_F174,18,T65536,3,9174,9173,9175
179,L0_S9_F174,18,T16779428,1,9174,9173,9175
180,L0_S9_F174,18,T16777472,1,9174,9173,9175
181,L0_S9_F174,18,T33554448,1,9174,9173,9175
182,L0_S9_F176,1,T1,476,9176,9175,9177
183,L0_S9_F178,1,T1,80,9178,9177,9179
184,L0_S9_F179,15,T8,166,9179,9178,9180
185,L0_S9_F179,15,T48576,142,9179,9178,9180
186,L0_S9_F179,15,T512,37,9179,9178,9180
187,L0_S9_F179,15,T16777557,28,9179,9178,9180
188,L0_S9_F179,15,T16777232,23,9179,9178,9180
